"id","name","description","currency","cost","cost_display","cost_mantissa","cost_exponent","col","row","prerequisite_ids","prerequisite_ranks","ascension_prerequisite_id","unlock_condition","effect_type","target_ids","operation","value","max_rank","cost_mult","secondary_effect","group","branch","level","stage","requires_big_number"
"tile_grass","草地培育","[color=#67E9F8][b]grass 地块[/b][/color]解锁；L2~5 grass 伤害倍率 [color=#86EFAC][b]×2/级[/b][/color]。","金币","100","100","1","2","-1","2","tile_dirt","1","","","UNLOCK_TILE_BEHAVIOR","grass","MULTIPLY","2^(level-1)","5","10","","地块","grass","2","本轮核心","false"
"tile_stone","石质改良","[color=#67E9F8][b]stone 地块[/b][/color]解锁；L2~5 stone 价值倍率 [color=#86EFAC][b]×2/级[/b][/color]。","金币","500","500","5","2","1","2","tile_dirt","1","","","UNLOCK_TILE_BEHAVIOR","stone","MULTIPLY","2^(level-1)","5","10","","地块","stone","3","本轮核心","false"
"tile_water","水域开拓","[color=#67E9F8][b]water 地块[/b][/color]解锁；L2~5 沉没返还 [color=#86EFAC][b]×2/级[/b][/color]。","金币","2500","2.5K","2.5","3","1","3","tile_stone","1","","","UNLOCK_TILE_BEHAVIOR","water","MULTIPLY","2^(level-1)","5","10","","地块","water","4","本轮核心","false"
"tile_fire","熔岩引流","[color=#67E9F8][b]fire 地块[/b][/color]解锁；L2~5 每秒伤害 [color=#86EFAC][b]×2/级[/b][/color]。","金币","12500","12.5K","1.25","4","-1","3","tile_grass","1","","","UNLOCK_TILE_BEHAVIOR","fire","MULTIPLY","2^(level-1)","5","10","","地块","fire","5","本轮核心","false"
"tile_conveyor","传送带","[color=#67E9F8][b]push 地块[/b][/color]解锁；L2~5 推动周期缩短（数值设计覆盖）。","金币","50000","50K","5","4","0","4","tile_fire","1","","","UNLOCK_TILE_BEHAVIOR","push","MULTIPLY","2^(level-1)","5","10","","地块","push","6","本轮核心","false"
"ore_dirt","泥土开采","[color=#67E9F8][b]dirt 矿[/b][/color]已默认解锁；L2~5 结算价值 [color=#86EFAC][b]×2/级[/b][/color]。","金币","0","0","0","0","1","0","","","","","UNLOCK_ORE_VALUE_MULT","dirt","MULTIPLY","2^(level-1)","5","10","","矿物","dirt","1","本轮核心","false"
"ore_coal","煤矿开采","[color=#67E9F8][b]coal 矿[/b][/color]解锁；L2~5 结算价值 [color=#86EFAC][b]×2/级[/b][/color]。","金币","50","50","5","1","2","0","ore_dirt","1","","","UNLOCK_ORE_VALUE_MULT","coal","MULTIPLY","2^(level-1)","5","10","","矿物","coal","2","本轮核心","false"
"ore_iron","铁矿开采","[color=#67E9F8][b]iron 矿[/b][/color]解锁；L2~5 结算价值 [color=#86EFAC][b]×2/级[/b][/color]。","金币","250","250","2.5","2","3","0","ore_coal","1","","","UNLOCK_ORE_VALUE_MULT","iron","MULTIPLY","2^(level-1)","5","10","","矿物","iron","3","本轮核心","false"
"ore_zinc","锌矿开采","[color=#67E9F8][b]zinc 矿[/b][/color]解锁；L2~5 结算价值 [color=#86EFAC][b]×2/级[/b][/color]。","金币","2500","2.5K","2.5","3","4","0","ore_iron","1","","","UNLOCK_ORE_VALUE_MULT","zinc","MULTIPLY","2^(level-1)","5","10","","矿物","zinc","4","本轮核心","false"
"ore_gold","金矿开采","[color=#67E9F8][b]gold 矿[/b][/color]解锁；L2~5 结算价值 [color=#86EFAC][b]×2/级[/b][/color]。","金币","25000","25K","2.5","4","5","0","ore_zinc","1","","","UNLOCK_ORE_VALUE_MULT","gold","MULTIPLY","2^(level-1)","5","10","","矿物","gold","5","本轮核心","false"
"ore_crystal","水晶开采","[color=#67E9F8][b]crystal 矿[/b][/color]解锁；L2~5 结算价值 [color=#86EFAC][b]×2/级[/b][/color]。","金币","250000","250K","2.5","5","6","0","ore_gold","1","","","UNLOCK_ORE_VALUE_MULT","crystal","MULTIPLY","2^(level-1)","5","10","","矿物","crystal","6","本轮核心","false"
"special_value_buff","彩虹矿脉","[color=#67E9F8][b]彩虹矿[/b][/color]（全局价值翻倍 60 秒）出现几率 [color=#86EFAC][b]+2%×等级[/b][/color]。","金币","5000","5K","5","3","2","1","ore_coal","1","","","SPECIAL_VALUE_BUFF_CHANCE","special","ADD","0.02*level","5","5","","特殊矿","special","1","本轮核心","false"
"special_high_value","富矿矿脉","[color=#67E9F8][b]富矿[/b][/color]（5 倍价值、3 倍血）出现几率 [color=#86EFAC][b]+4%×等级[/b][/color]。","金币","10000","10K","1","4","3","1","special_value_buff","1","","","SPECIAL_HIGH_VALUE_CHANCE","special","ADD","0.04*level","5","5","","特殊矿","special","2","本轮核心","false"
"special_fragile","脆矿矿脉","[color=#67E9F8][b]脆矿[/b][/color]（一击即碎）出现几率 [color=#86EFAC][b]+7%×等级[/b][/color]。","金币","25000","25K","2.5","4","4","1","special_high_value","1","","","SPECIAL_FRAGILE_CHANCE","special","ADD","0.07*level","5","5","","特殊矿","special","3","本轮核心","false"
"ore_stone","石头开采","[color=#67E9F8][b]stone 矿[/b][/color]解锁；L2~5 结算价值 [color=#86EFAC][b]×2/级[/b][/color]。","金币","100","100","1","2","3","-1","ore_coal","1","","","UNLOCK_ORE_VALUE_MULT","stone","MULTIPLY","2^(level-1)","5","10","","矿物","stone","2","本轮核心","false"
"ore_emerald","绿宝石开采","[color=#67E9F8][b]emerald 矿[/b][/color]解锁；L2~5 结算价值 [color=#86EFAC][b]×2/级[/b][/color]。","金币","100000","100K","1","5","5","-1","ore_gold","1","","","UNLOCK_ORE_VALUE_MULT","emerald","MULTIPLY","2^(level-1)","5","10","","矿物","emerald","5","本轮核心","false"
"ore_obsidian","黑曜石开采","[color=#67E9F8][b]obsidian 矿[/b][/color]解锁；L2~5 结算价值 [color=#86EFAC][b]×2/级[/b][/color]。","金币","2500000","2.5M","2.5","6","6","-1","ore_crystal","1","","","UNLOCK_ORE_VALUE_MULT","obsidian","MULTIPLY","2^(level-1)","5","10","","矿物","obsidian","7","本轮核心","false"
"ore_diamond","钻石开采","[color=#67E9F8][b]diamond 矿[/b][/color]解锁；L2~5 结算价值 [color=#86EFAC][b]×2/级[/b][/color]。","金币","25000000","25M","2.5","7","7","0","ore_obsidian","1","","","UNLOCK_ORE_VALUE_MULT","diamond","MULTIPLY","2^(level-1)","5","10","","矿物","diamond","8","本轮核心","false"
"ore_cat","猫矿开采","[color=#67E9F8][b]cat 矿[/b][/color]解锁；L2~5 结算价值 [color=#86EFAC][b]×2/级[/b][/color]。","金币","250000000","250M","2.5","8","8","0","ore_diamond","1","","","UNLOCK_ORE_VALUE_MULT","cat","MULTIPLY","2^(level-1)","5","10","","矿物","cat","9","本轮核心","false"
"tile_pull","磁吸","[color=#67E9F8][b]pull 地块[/b][/color]解锁；L2~5 拉动周期缩短（数值设计覆盖）。","金币","250000","250K","2.5","5","0","5","tile_conveyor","1","","","UNLOCK_TILE_BEHAVIOR","pull","MULTIPLY","2^(level-1)","5","10","","地块","pull","7","本轮核心","false"
"tile_rarity","稀有矿脉","[color=#67E9F8][b]rarity 地块[/b][/color]解锁；L2~5 稀有度下限提升（数值设计覆盖）。","金币","1250000","1.25M","1.25","6","0","6","tile_pull","1","","","UNLOCK_TILE_BEHAVIOR","rarity","MULTIPLY","2^(level-1)","5","10","","地块","rarity","8","本轮核心","false"
"tile_spawn","水晶矿脉","[color=#67E9F8][b]spawn 地块[/b][/color]解锁；L2~5 生成周期缩短（数值设计覆盖）。","金币","6250000","6.25M","6.25","6","0","7","tile_rarity","1","","","UNLOCK_TILE_BEHAVIOR","spawn","MULTIPLY","2^(level-1)","5","10","","地块","spawn","9","本轮核心","false"
"tile_tnt_spawn","TNT 生成器","[color=#67E9F8][b]tnt_spawn 地块[/b][/color]解锁；L2~5 TNT 生成周期缩短（数值设计覆盖）。","金币","31250000","31.25M","3.125","7","0","8","tile_spawn","1","","","UNLOCK_TILE_BEHAVIOR","tnt_spawn","MULTIPLY","2^(level-1)","5","10","","地块","tnt_spawn","10","本轮核心","false"
